OBJECTID_1,OBJECTID,localId,namespace,spZoneType,Area_km2,GlobalID,Shape__Area,Shape__Length
1,426,UKGBNI3NB0032,Lough Neagh,lakeWaterBody,381.26885,2d51e878-df8d-49f3-9a73-ca7ed4e2378a,381268852.195053,229598.416209643
2,427,UKGBNI3NB0018,Lough Gullion,lakeWaterBody,0.87955,542de8c4-85ca-491a-adfa-45638ecd9626,879545.755661011,4566.06755905302
3,428,UKGBNI3NB0034,Stonyford Reservoir,lakeWaterBody,0.55215,c304aa7c-6791-4fa1-bb67-ea42270af809,552149.025482178,3362.84680668406
4,429,UKGBNI3NB0016,Portmore Lough,lakeWaterBody,1.8202,428a7cc2-e7f1-4645-87af-d4c2fc9c51f4,1820204.64612579,6145.56065323656
5,430,UKGBNI3NW0036,Castlehume Lough,lakeWaterBody,0.60717,1b7c1403-cab4-426f-b6cd-f0bd13d7d22d,607174.288490295,5483.03267831036
6,431,UKGBNI3NE0028,Lough Mourne,lakeWaterBody,0.50854,831ccb77-6187-4bff-a3b7-7f9bb59b3193,508536.425437927,3822.84316186329
7,432,UKGBNI3NB0035,Lough Beg,lakeWaterBody,4.55217,42efe767-4abd-47a0-a4f2-f0abbc0fd9ab,4552165.03948975,35140.8547693519
8,433,UKGBNI3NB0026,Spelga Dam,lakeWaterBody,0.62042,b2490ff5-2e38-45b9-82cd-aaf016a88788,620416.085281372,4299.84620797032
9,434,UKGBNI3NB0027,Lough Fea,lakeWaterBody,0.62423,1191fef2-7f95-4f2a-ae77-7366c1d0c3f2,624230.01739502,4468.60867425056
10,435,UKGBNI3NB0017,Lough Island Reavey,lakeWaterBody,1.02915,eb9fb705-95b0-47ff-9421-57e296d142d2,1029148.8783493,5361.77428142426
11,436,UKGBNI3NE0023,Clea Lakes,lakeWaterBody,0.65294,58cd4402-f813-4c07-9a8c-dca69f61acfd,652941.158401489,11785.5808444251
12,438,UKGBNI3NE0019,Silent Valley Reservoir,lakeWaterBody,0.94689,c8b2ca01-8132-4eb8-bcc7-a91e42a706f2,946894.198783875,7411.63270003268
13,439,UKGBNI3NB0020,Lough Ross Monaghan,lakeWaterBody,0.84295,cbe26593-6c08-4544-982f-a1052c594a45,842953.498519897,5579.42683850104
14,440,UKGBNI3NW0011,Lough Macnean Upper,lakeWaterBody,9.88507,c8c27e0a-93d3-4082-b243-d387c00496fd,9885066.50935364,39735.0570326494
15,441,UKGBNI3NW0033,Lough Melvin,lakeWaterBody,22.53903,e77b25bf-83de-4343-b042-dd7ac11c6885,22539029.477272,43668.5539462936
16,449,UKGBNI3NW0014,Lough Macnean Lower,lakeWaterBody,4.18977,ea38b336-195c-4f51-8ed1-d09f786e02f2,4189771.84137726,17996.5026053934
17,450,UKGBNI3NB0021,Cam Lough,lakeWaterBody,0.71845,f420f4c2-a7bb-4c23-9b81-00a49f6edd25,718449.277114868,6301.29197151643
18,464,UKGBNI3NW0008,Upper Lough Erne,lakeWaterBody,33.9956,81315ae5-8151-44b5-8cfa-05384eb16ef4,33995599.6305695,283684.012859831
19,493,UKGBNI3NW0007,Lower Lough Erne Devenish,lakeWaterBody,52.797,0c82f0d9-853d-4603-ab91-7dcf94cea298,52796995.4056168,164419.506309474
20,494,UKGBNI3NW0006,Lower Lough Erne Kesh,lakeWaterBody,50.61893,91747e97-6ba0-4fce-827b-4e069c0f2d20,50618929.8332748,139944.705993132
21,496,UKGBNI3NW0022,Lough Scolban,lakeWaterBody,0.65551,a7cb520e-f376-4bd7-913c-ced918020d69,655512.367935181,6379.66533723889
